ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
BLM,Lightning,,0-25,Flat,0-500,012N,061W,18,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012N,062W,13,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012N,061W,7,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012N,062W,14,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,010N,070W,17,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,010N,071W,2,Seward,,N,N,Natural
NCA,Human,RECREATION,0-25,Flat,0-500,020N,040W,32,Seward,,N,N,Human
STA,Human,MISCELLANY,0-25,Flat,1501-2500,010N,001W,14,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,001S,002E,18,Fairbanks,,N,N,Human
STA,Human,MISCELLANY,0-25,Flat,0-500,021N,011W,29,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0-500,004N,012E,26,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,003N,011W,5,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007N,001E,27,Kateel River,,N,N,Natural
BLM,Human,RECREATION,0-25,Flat,1501-2500,025N,022W,8,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,010N,009W,34,Fairbanks,,N,N,Natural
PRI,Human,MISCELLANY,0-25,Flat,0-500,001S,013W,3,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0-500,028S,001E,22,Kateel River,,N,N,Natural
STA,Human,RECREATION,0-25,Flat,0-500,020N,004W,6,Seward,,N,N,Human
STA,Incendiary,,0-25,Flat,0501-1500,012N,003W,11,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,018N,002W,22,Seward,,N,N,Human
MA,Human,MISCELLANY,0-25,Flat,0-500,013N,002W,9,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,020N,004W,6,Seward,,N,N,Human
NCA,Human,RECREATION,0-25,North West,0501-1500,028N,038W,36,Seward,,N,N,Human
ARR,Human,RAILROAD,26-40,South,1501-2500,010N,001E,14,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,0-500,004S,005E,13,Copper River,,N,N,Human
STA,Lightning,,0-25,East,0501-1500,023N,009W,29,Seward,,N,N,Natural
STA,Lightning,,0-25,Flat,0-500,002S,011W,34,Fairbanks,,N,N,Natural
STA,Lightning,,0-25,Flat,0501-1500,003N,005W,22,Fairbanks,,N,N,Natural
PRI,Human,RECREATION,0-25,Flat,0-500,001S,002E,19,Fairbanks,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,003S,019W,9,Fairbanks,,N,N,Natural
STA,Lightning,,0-25,Flat,0-500,020N,005W,13,Seward,,N,N,Natural
STA,Lightning,,0-25,Flat,0-500,021N,009W,1,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,026S,004W,16,Kateel River,,N,N,Natural
BLM,Human,DEBRIS BNG,26-40,West,2501-3500,004N,004W,22,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,011S,002E,3,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,001N,068W,15,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,029N,071W,3,Seward,,N,N,Natural
PRI,Human,RECREATION,0-25,Flat,0-500,018N,003W,25,Seward,,N,N,Human
NCA,Lightning,,0-25,Flat,0501-1500,028N,033W,18,Seward,,N,N,Natural
FWS,Human,RECREATION,0-25,Flat,0-500,004N,005W,18,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,003N,063W,20,Seward,,N,N,Natural
MA,Human,MISCELLANY,0-25,Flat,0-500,014N,002W,3,Seward,,N,N,Human
BLM,Human,SMOKING,0-25,Flat,0-500,007N,005W,7,Fairbanks,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,010N,010W,34,Fairbanks,,N,N,Natural
STA,Lightning,,0-25,South East,0-500,011N,003W,25,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,021N,055W,22,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,021N,058W,25,Seward,,N,N,Natural
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,003S,015W,24,Seward,,N,N,Human
NCA,Lightning,,0-25,Flat,0-500,018N,058W,14,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,022S,014E,12,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,South East,0501-1500,019N,058W,7,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,022S,014E,20,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,019N,041W,5,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,020S,013E,28,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,019S,012E,22,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,029S,001E,2,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,024S,012E,35,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,028N,053W,7,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,027N,076W,23,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,028N,053W,8,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,029N,053W,34,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,023S,014W,25,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,South East,0501-1500,022N,060W,28,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,015N,067W,5,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012N,061W,31,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,028N,053W,8,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,010N,063W,3,Seward,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,005N,065W,33,Seward,,N,N,Natural
NCA,Human,MISCELLANY,0-25,Flat,0-500,018N,008W,4,Kateel River,,N,N,Human
BLM,Lightning,,0-25,Flat,0-500,015N,005E,26,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,006S,003E,1,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012S,006E,28,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007S,018W,6,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,029N,009W,7,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,East,1501-2500,027N,005W,1,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007N,020E,29,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008N,006E,30,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001N,007W,5,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,023S,013E,20,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,023S,012E,9,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,029S,015E,6,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,027S,014E,10,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,028S,015W,17,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,005N,010E,30,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,South,1501-2500,006N,010E,25,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,South West,0501-1500,001N,003W,33,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,006N,015E,19,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,East,2501-3500,004N,015E,4,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,007N,006E,30,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,004S,011W,22,Kateel River,,N,N,Natural
BLM,Lightning,,26-40,West,0501-1500,007N,021E,29,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007N,019E,25,Fairbanks,,N,N,Natural
STA,Lightning,,0-25,Flat,0501-1500,007S,002E,22,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008S,003E,32,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,013S,022W,23,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001N,002W,35,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,West,1501-2500,010N,009E,27,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,019N,010E,11,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,031N,010W,24,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,015N,016E,12,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,015N,016E,11,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,011N,011E,24,Kateel River,,N,N,Natural
STA,Lightning,,0-25,Flat,0501-1500,017N,013W,14,Seward,,N,N,Natural
FWS,Lightning,,0-25,Flat,0501-1500,007N,005W,23,Seward,,N,N,Natural
STA,Lightning,,0-25,South West,1501-2500,017N,013W,8,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,027N,030W,7,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,018S,004E,32,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,028S,004E,14,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,023S,008W,36,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,024S,011W,20,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,020N,018W,20,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,South West,0501-1500,003N,019E,19,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,026N,006E,32,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007N,028E,31,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,South East,2501-3500,001S,025E,19,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,2501-3500,021N,015E,7,Copper River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,014S,004E,12,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,015S,025E,17,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,014S,019W,16,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001N,025W,20,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,021N,009E,8,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,009N,019E,8,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,009N,009E,10,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,014N,017E,36,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,South,1501-2500,022N,025E,16,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,022N,004W,11,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,West,1501-2500,029N,006W,25,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,017S,016E,13,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,018S,020E,19,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,017S,022E,7,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,006S,018E,14,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,1501-2500,005N,007W,14,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,001N,019W,30,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,003N,024W,7,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,013N,021W,19,Fairbanks,,N,N,Natural
STA,Lightning,,0-25,North West,0501-1500,004S,009E,6,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,004S,017E,20,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001S,023E,23,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,012S,019E,4,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,022N,001W,18,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,022N,001W,18,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,008N,008E,15,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,012S,019E,4,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,002N,022E,32,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,008S,012E,19,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,022N,004W,17,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,North,0501-1500,011N,022E,3,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,029N,007W,30,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007S,002E,29,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,North,1501-2500,012N,023W,25,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,017N,021E,30,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,016N,021E,6,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,017N,020E,25,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,009S,019W,29,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,009S,019W,17,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,017N,020E,14,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,006N,025E,34,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,018N,025E,19,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,West,0501-1500,010N,022W,13,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007S,015W,24,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,South,0501-1500,020N,006W,1,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,021N,005W,34,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,019S,006E,22,Kateel River,,N,N,Natural
BLM,Human,SMOKING,0-25,Flat,0-500,028N,036W,32,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,004N,010W,31,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,016N,015E,34,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,006S,018W,6,Fairbanks,,N,N,Natural
NCA,Lightning,,0-25,Flat,0501-1500,006N,020E,35,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008S,017W,23,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,002S,012E,23,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008S,004E,3,Fairbanks,,N,N,Natural
MA,Lightning,,0-25,Flat,0501-1500,002S,004E,30,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,007N,020E,36,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,021N,006E,20,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,021N,006W,36,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,South East,0501-1500,021N,005W,31,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,002N,002E,7,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001N,002E,2,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,010N,002W,6,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,018N,010E,18,Kateel River,,N,N,Natural
NCA,Lightning,,0-25,Flat,0-500,018N,010E,18,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,013N,012E,25,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,010S,013W,7,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,013N,021W,21,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,022S,003E,29,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,005S,012E,3,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,003S,001E,18,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,002N,002W,21,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,002N,004W,12,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,013N,009E,5,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,003N,009W,15,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,005N,008W,27,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,001N,015W,13,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001S,006W,35,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,025N,024W,3,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,001S,016E,16,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,003S,013E,28,Kateel River,,N,N,Natural
BLM,Natural,LIGHTNING,0-25,East,0501-1500,012N,012E,26,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,013N,011E,14,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,008N,011E,21,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,009N,007E,25,Kateel River,,N,N,Natural
PRI,Human,RECREATION,0-25,Flat,0-500,001S,001W,1,Fairbanks,,N,N,Human
NCA,Lightning,,0-25,Flat,0501-1500,005N,008W,6,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,019N,020W,25,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,019N,022W,13,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,027N,009W,29,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,004S,025W,5,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,North East,1501-2500,003N,002E,31,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,001N,021W,23,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,North West,0501-1500,004S,020W,20,Fairbanks,,N,N,Natural
PRI,Lightning,,0-25,Flat,0501-1500,001N,004E,32,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,018N,020W,6,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,North West,1501-2500,009N,005W,26,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,009N,022W,22,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,009N,022W,17,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,009N,022W,31,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,South West,1501-2500,011N,022W,31,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008N,023W,5,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,008N,024W,12,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,009N,022W,5,Fairbanks,,N,N,Natural
PRI,Human,MISCELLANY,0-25,Flat,0-500,018N,004W,12,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,013N,003W,33,Seward,,N,N,Human
FWS,Human,RECREATION,0-25,Flat,0-500,005N,006W,36,Seward,,N,N,Human
NCA,Human,SMOKING,0-25,Flat,0501-1500,002N,001E,18,Copper River,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0-500,014N,006W,13,Seward,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,001S,002E,5,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,001N,001W,24,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,East,1501-2500,003S,005E,14,Fairbanks,,N,N,Human
BLM,Lightning,,0-25,Flat,1501-2500,019N,013W,30,Fairbanks,,N,N,Natural
BLM,Lightning,,0-25,Flat,1501-2500,023N,003W,11,Fairbanks,,N,N,Natural
OFL,Human,RECREATION,0-25,Flat,0-500,013N,005W,34,Seward,,N,N,Human
NCA,Human,MISCELLANY,0-25,Flat,0-500,004N,024W,34,Fairbanks,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0-500,015N,001W,31,Seward,,N,N,Human
BLM,Human,RECREATION,26-40,South West,2501-3500,013N,001W,17,Seward,,N,N,Human
PRI,Human,EQUIPMENT,0-25,North East,1501-2500,012N,002W,31,Seward,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0-500,002S,002E,21,Fairbanks,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,002S,002E,10,Fairbanks,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,1501-2500,018N,014E,29,Copper River,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,001S,002E,35,Copper River,,N,N,Human
MA,Human,MISCELLANY,0-25,South,1501-2500,013N,002W,11,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,0-500,023N,004W,7,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,001N,004E,33,Fairbanks,,N,N,Human
MA,Human,MISCELLANY,0-25,South,1501-2500,013N,002W,11,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,South West,0501-1500,012N,003W,36,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,16,Seward,,N,N,Human
NCA,Human,DEBRIS BNG,0-25,Flat,0-500,030N,059W,12,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,004N,011W,12,Seward,,N,N,Human
BLM,Human,RAILROAD,0-25,Flat,0501-1500,033N,002W,27,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,004N,011W,15,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,005N,008W,20,Seward,,N,N,Human
STA,Human,MISCELLANY,0-25,Flat,0-500,017N,007W,23,Seward,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0-500,010N,001W,10,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,002S,002E,9,Fairbanks,,N,N,Human
STA,Lightning,,0-25,Flat,0-500,015N,004W,28,Seward,,N,N,Natural
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,002S,002E,10,Fairbanks,,N,N,Human
NCA,Human,DEBRIS BNG,0-25,Flat,0-500,030N,058W,32,Seward,,N,N,Human
FWS,Human,SMOKING,0-25,Flat,0-500,006N,009W,1,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,005S,004E,27,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,001S,002E,33,Fairbanks,,N,N,Human
BLM,Natural,LIGHTNING,0-25,Flat,0501-1500,003S,005E,25,Copper River,,N,N,Natural
PRI,Human,CHILDREN,0-25,Flat,0-500,018N,001E,26,Seward,,N,N,Human
NCA,Human,MISCELLANY,0-25,Flat,1501-2500,027S,014E,12,Kateel River,,N,N,Human
BLM,Human,MISCELLANY,0-25,North,1501-2500,016N,016E,6,Copper River,,N,N,Human
BLM,Human,DEBRIS BNG,0-25,Flat,1501-2500,006S,014E,21,Copper River,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,001N,002E,23,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,1501-2500,013N,020E,8,Copper River,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,10,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,001S,001E,23,Copper River,,N,N,Human
NCA,Human,RECREATION,0-25,Flat,0-500,004N,007W,33,Fairbanks,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0501-1500,009N,019W,22,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,001N,009E,6,Fairbanks,,N,N,Natural
PRI,Human,MISCELLANY,0-25,Flat,0-500,001S,002E,18,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,001N,001W,29,Fairbanks,,N,N,Human
PRI,Human,MISCELLANY,26-40,West,2501-3500,012N,002E,33,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,006S,014W,12,Seward,,N,N,Human
MA,Human,MISCELLANY,0-25,Flat,0-500,001S,001W,13,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,001S,001W,2,Fairbanks,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,012N,003W,27,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,002N,012W,13,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,001N,001E,18,Fairbanks,,N,N,Human
STA,Human,SMOKING,0-25,Flat,0-500,001N,002E,26,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,1501-2500,004N,001W,24,Copper River,,N,N,Human
BLM,Human,DEBRIS BNG,0-25,Flat,0501-1500,033N,036W,11,Seward,,N,N,Human
MA,Human,INCENDIARY,0-25,West,1501-2500,003S,006E,18,Fairbanks,,N,N,Human
FWS,Human,RECREATION,0-25,Flat,0-500,008N,006W,5,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,018N,001W,8,Seward,,N,N,Human
NCA,Human,RECREATION,0-25,Flat,0-500,006S,029W,6,Seward,,N,N,Human
ARR,Human,RAILROAD,0-25,Flat,0-500,023N,004W,30,Seward,,N,N,Human
STA,Human,MISCELLANY,0-25,Flat,0501-1500,001N,004E,33,Fairbanks,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0501-1500,008S,010E,19,Fairbanks,,N,N,Human
STA,Human,SMOKING,0-25,Flat,1501-2500,005S,012W,1,Seward,,N,N,Human
NCA,Lightning,,0-25,Flat,0-500,027S,025E,19,Kateel River,,N,N,Natural
BLM,Human,RAILROAD,0-25,Flat,1501-2500,020S,009W,18,Fairbanks,,N,N,Human
NCA,Human,RECREATION,0-25,South East,0501-1500,028S,015E,31,Kateel River,,N,N,Human
ARR,Human,RAILROAD,0-25,Flat,1501-2500,020S,010W,23,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,001N,001W,28,Fairbanks,,N,N,Human
